地区,センター,可燃ごみ,プラスチック製容器包装,金属類,埋立ごみ,その他資源物
中町タテ通り,東山クリーンセンター,月 金,水,金1 金3,水2,金1
中町ヨコ通り,東山クリーンセンター,火 土,木,金1 金3,水2,金1
西町１組～３組、９組タテ通り,東山クリーンセンター,月 金,水,月2 月4,水2,金1
西町１組～３組、９組ヨコ通り,東山クリーンセンター,火 土,木,月2 月4,水2,金1
西町４組～８組、10組～14組タテ通り,東山クリーンセンター,月 金,水,月1 月3,木2,金1
西町４組～８組、10組～14組ヨコ通り,東山クリーンセンター,火 土,木,月1 月3,木2,金1
西町12組,東山クリーンセンター,月 金,水,木2 木4,木3,金1
東町タテ通り,東山クリーンセンター,月 金,水,火2 火4,水3,金1
東町ヨコ通り,東山クリーンセンター,火 土,木,火2 火4,水3,金1
松川１組～13組、15組タテ通り,東山クリーンセンター,月 金,水,月1 月3,水2,金1
松川１組～13組、15組ヨコ通り,東山クリーンセンター,火 土,木,月1 月3,水2,金1
松川14組,東山クリーンセンター,火 土,木,月1 月3,水2,金1
松川16組,東山クリーンセンター,月 金,水,月1 月3,水2,金1
普代,東山クリーンセンター,火 土,木,火2 火4,水3,金1
東松川,東山クリーンセンター,火 土,木,火2 火4,水3,金1
一本木,東山クリーンセンター,月 金,水,月1 月3,木2,金1
栗和田,東山クリーンセンター,月 金,水,月1 月3,木2,金1
西条,東山クリーンセンター,月 金,水,月2 月4,火2,金1
上小田中,東山クリーンセンター,月 金,水,木2 木4,木3,金1
下小田中,東山クリーンセンター,月 金,水,木2 木4,木3,金1
南宮団地,東山クリーンセンター,月 金,水,金1 金3,水2,金1
東吉田,東山クリーンセンター,月 金,水,木2 木4,木3,金1
間山,東山クリーンセンター,火 土,木,水2 水4,木2,金1
新野,東山クリーンセンター,火 土,木,水2 水4,木2,金1
更科,東山クリーンセンター,火 土,木,水2 水4,木2,金1
高遠,東山クリーンセンター,火 土,木,水2 水4,木2,金1
東山,東山クリーンセンター,月 金,水,木2 木4,木3,金1
桜沢,東山クリーンセンター,火 土,木,水2 水4,水3,土1
大熊,東山クリーンセンター,火 土,木,水2 水4,水3,土1
北大熊,東山クリーンセンター,火 土,木,水2 水4,水3,土1
小沼,東山クリーンセンター,火 土,木,水2 水4,水3,土1
篠井,東山クリーンセンター,火 土,木,水2 水4,水3,土1
新保,東山クリーンセンター,火 土,木,水2 水4,水3,土1
西江部,東山クリーンセンター,火 土,木,水1 水3,木3,土1
東江部,東山クリーンセンター,火 土,木,水1 水3,木3,土1
泉,東山クリーンセンター,火 土,木,水2 水4,火3,土1
岩船,東山クリーンセンター,火 土,木,水2 水4,火2,土1
片塩,東山クリーンセンター,火 土,木,水1 水3,木3,土1
七瀬,東山クリーンセンター,月 金,水,月2 月4,木2,土1
吉田,東山クリーンセンター,火 土,木,水2 水4,火3,土1
長嶺,東山クリーンセンター,月 金,水,月2 月4,木2,土1
安源寺,東山クリーンセンター,火 土,木,金1 金3,水2,土1
草間,東山クリーンセンター,火 土,木,金1 金3,水2,土1
日和,東山クリーンセンター,火 土,木,金1 金3,水2,土1
立ヶ花,東山クリーンセンター,火 土,木,金1 金3,水2,土1
牛出,東山クリーンセンター,火 土,木,金1 金3,水2,土1
栗林,東山クリーンセンター,火 土,木,金1 金3,水2,土1
大俣,東山クリーンセンター,月 金,水,月2 月4,木2,土1
田麦,東山クリーンセンター,月 金,水,月2 月4,木2,月2
厚貝,東山クリーンセンター,月 金,水,月2 月4,木2,月2
壁田,東山クリーンセンター,月 金,水,月2 月4,木2,月2
古牧,東山クリーンセンター,月 金,水,月2 月4,木2,月2
竹原,東山クリーンセンター,月 金,水,金2 金4,火2,月2
金井,東山クリーンセンター,月 金,水,金2 金4,火2,月2
西笠原,東山クリーンセンター,月 金,水,金2 金4,火2,月2
東笠原,東山クリーンセンター,月 金,水,金2 金4,火2,月2
新井,東山クリーンセンター,月 金,水,金2 金4,火2,月2
若宮,東山クリーンセンター,月 金,水,金2 金4,火2,月2
北間長瀬,東山クリーンセンター,月 金,水,金2 金4,火2,月2
